Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
6872def5-772f-427c-3053-de6e1c71ce0a,2011-03-06,,999-96-6821,,,,Alfred550,West559,,,,white,hispanic,M,Lexington  Massachusetts  US,1037 Stehr Park,Belmont,Massachusetts,Middlesex County,02472,42.42000352463694,-71.18158394036953,292937.40,1674.60,363895
6c434506-fb4b-3e3f-c19d-553dec3b6c17,2004-12-27,,999-44-3322,S99963032,,Ms.,Claudia969,Pacheco179,,,,white,hispanic,F,La Paz  Baja California  MX,625 Doyle Row,Lynn,Massachusetts,Essex County,01905,42.52076231741145,-70.99610076420646,55738.14,9654.62,5779
4113255f-4e35-506a-ddef-4429caa17ffc,2004-06-03,,999-88-1434,S99995455,,Ms.,Rasheeda241,Heaney114,,,,black,nonhispanic,F,Paxton  Massachusetts  US,946 Carroll Arcade Suite 20,Boston,Massachusetts,Suffolk County,02116,42.34789223655134,-71.049264374543,454408.46,234.30,45680
239ae86a-96db-6211-9042-d3f2850aabb8,1984-03-12,,999-74-7366,S99954594,X27347088X,Mr.,Darrell400,Muller251,,,M,white,nonhispanic,M,Pembroke  Massachusetts  US,541 Stracke Plaza,Lowell,Massachusetts,Middlesex County,01854,42.67839476037261,-71.33971522886895,119512.82,8793.54,3928
9df4460a-2f66-2d07-de9e-0afaf84bb157,1982-11-20,,999-18-7495,S99935633,X49554149X,Mr.,Keven605,Daugherty69,,,S,white,nonhispanic,M,Topsfield  Massachusetts  US,1041 Schuppe Vale,Dalton,Massachusetts,Berkshire County,,42.47374174523344,-73.10494900506748,104715.94,7249.22,3229
92675303-ca5b-136a-169b-e764c5753f06,1959-06-26,,999-62-9859,S99933580,X33424857X,Mr.,Lorenzo669,Urrutia540,,,M,white,hispanic,M,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Chicopee,Massachusetts,Hampden County,01013,42.184457490345814,-72.57177354003923,1522823.56,0.00,88407
d62238e5-917d-0df5-5c35-6aa5d13f17af,2008-06-27,,999-28-3434,,,,Rena430,Rowe323,,,,white,nonhispanic,F,Waltham  Massachusetts  US,1046 Lueilwitz Ranch Unit 15,Colrain,Massachusetts,Franklin County,,42.664907366172095,-72.75158420611616,363233.80,1368.60,36487
abc59f62-dc5a-5095-1141-80b4ee8be73b,1956-11-22,,999-37-1058,S99915086,X86882846X,Mrs.,Jacque955,Jast432,,Will178,M,white,nonhispanic,F,Lawrence  Massachusetts  US,492 Keebler Estate,Shrewsbury,Massachusetts,Worcester County,,42.2492633419548,-71.705572733258,1568542.12,735.84,503848
6f3ec64a-c315-2b26-5973-21ef2f09160f,1996-04-18,,999-14-3900,S99953027,X5951429X,Ms.,Velvet616,Legros616,,,,white,nonhispanic,F,Brockton  Massachusetts  US,893 McGlynn Gateway Apt 0,Middleborough,Massachusetts,Plymouth County,,41.89178777165594,-70.85051889173994,640940.00,0.00,36592
54f1059e-6250-3949-6dd0-1dda9b85d22a,1993-05-05,,999-28-3364,S99935113,X86111475X,Mrs.,Fredricka415,Leannon79,,Crist667,M,white,nonhispanic,F,Lowell  Massachusetts  US,931 Bartell Ville Apt 84,Malden,Massachusetts,Middlesex County,02148,42.43483192481692,-71.02397827981274,706725.96,0.00,35460
59844213-b884-17cb-59e9-c07a73a06f41,1949-08-20,,999-75-8169,S99933597,X59167267X,Mr.,Frederick289,Breitenberg711,,,M,black,nonhispanic,M,Everett  Massachusetts  US,227 Stiedemann Union Suite 28,Whitman,Massachusetts,Plymouth County,,42.10609469292333,-70.91765574475585,1692210.62,46975.89,30100
28d7b56c-6056-d0a2-2991-39d6e917216c,1938-12-31,,999-31-6091,S99955146,X76625337X,Mrs.,Angela104,Hane680,,Funk324,M,white,nonhispanic,F,Westfield  Massachusetts  US,677 Bosco Extension,South Yarmouth,Massachusetts,Barnstable County,02664,41.69360171519502,-70.16953083062255,1941533.77,94274.53,67198
d92132ce-06ac-3ab4-217f-97257a290b22,1965-02-05,,999-65-7810,S99951597,X88017267X,Mrs.,Dannette613,Gleichner915,,Bauch723,M,white,nonhispanic,F,Marlborough  Massachusetts  US,593 Doyle Ranch,Newbury,Massachusetts,Essex County,,42.80410279196755,-70.82470883225064,1373901.82,9091.99,70833
ae8722c8-8fe3-3bf6-9ae3-d25954bcb8b8,2002-06-26,,999-42-9609,S99958290,X56232882X,Ms.,Yong583,Turcotte120,,,,white,nonhispanic,F,Westford  Massachusetts  US,113 Oberbrunner Trail Suite 11,Lawrence,Massachusetts,Essex County,,42.680705735414485,-71.11143459005724,510776.41,903.15,48846
9f6a80af-4fa3-bd0f-750b-94b7c3f7046d,2010-05-16,,999-41-5047,,,,Katherina205,Corwin846,,,,white,nonhispanic,F,Canton  Massachusetts  US,947 Treutel Skyway Suite 59,Barnstable,Massachusetts,Barnstable County,02675,41.67325643106544,-70.45960757559526,313815.56,362.40,47252
4b9c1991-8733-d3f6-777d-6310b5dd7af2,1962-06-04,,999-36-6696,S99918478,X58061217X,Ms.,Delia459,Pagac496,,,S,asian,nonhispanic,F,Fitchburg  Massachusetts  US,1062 Hegmann Row Apt 57,Quincy,Massachusetts,Norfolk County,02169,42.31052877826429,-71.0083466404818,1470365.28,10817.84,75773
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1938-07-17,,999-53-6488,S99956280,X40511101X,Mr.,Luther918,MacGyver246,,,M,white,nonhispanic,M,Chelmsford  Massachusetts  US,250 Morar Fork Apt 66,Boston,Massachusetts,Suffolk County,02136,42.35669114363619,-71.00729538672405,1967394.54,97375.80,534421
a02a3f43-b6f4-d209-4062-af0cec3b22c1,1944-08-15,,999-99-5386,S99910779,X67722867X,Mr.,Mohammed454,Mueller846,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,530 Zboncak Landing Suite 63,Sandwich,Massachusetts,Barnstable County,02563,41.71687641511264,-70.4677386228444,1895519.37,87769.79,65295
44a8ca45-6c6e-38bb-fac0-ddbf7a7ee3a4,1983-07-09,,999-51-4389,S99960118,X89350373X,Mr.,Rudolf736,Rohan584,,,S,white,nonhispanic,M,Haverhill  Massachusetts  US,110 Johns Wall Suite 79,Avon,Massachusetts,Norfolk County,,42.14928700865473,-71.04745720168393,950035.26,521.10,47847
6b060c17-b5af-82b5-0417-38644cf1fef5,1961-12-12,,999-32-3520,S99953791,X78754995X,Mr.,Fritz267,Mitchell808,,,S,black,nonhispanic,M,Lynn  Massachusetts  US,129 Brakus Burg,Plymouth,Massachusetts,Plymouth County,,41.850689053968594,-70.66316673555411,1469761.95,0.00,106364
d9fb22dd-45ab-41e3-7c6c-393d74805e67,2011-09-03,,999-94-7134,,,,Mari763,Fadel536,,,,asian,nonhispanic,F,Mumbai  Maharashtra  IN,291 Wintheiser Dam Apt 49,Everett,Massachusetts,Middlesex County,02149,42.37060204722319,-71.08348604887081,288946.40,165.60,35382
a832f5fa-07a9-e8ef-dc1a-8df6376be9cf,1998-03-16,,999-53-3586,S99958984,X59062453X,Mr.,Korey682,Howell947,,,,black,nonhispanic,M,Springfield  Massachusetts  US,542 Connelly Dam Suite 86,Springfield,Massachusetts,Hampden County,01105,42.1623360762082,-72.516883591123,588848.31,76.05,66991
7ac6b3c7-cdd7-23c4-52bf-a6cd4440a9d6,1983-10-05,,999-44-4295,S99960650,X82762543X,Mrs.,Shalonda324,Gutmann970,,Williamson769,M,white,nonhispanic,F,Milford  Massachusetts  US,788 Reynolds Mall,Westford,Massachusetts,Middlesex County,,42.60496480757186,-71.42394515202272,941956.36,0.00,69914
12e6dd54-169a-78f9-02f0-e7e41b07b0eb,1993-10-21,,999-85-8101,S99946144,X53645874X,Mrs.,Kandi717,Haley279,,Romaguera67,M,white,nonhispanic,F,Merrimac  Massachusetts  US,672 Koelpin Glen,Scituate,Massachusetts,Plymouth County,02066,42.16641436093744,-70.7842725116409,701561.96,0.00,98212
82340b68-7f78-8d50-15ba-0396be76a381,1955-04-28,,999-82-6124,S99998556,X23776158X,Mr.,Zackary401,Lehner980,,,S,white,nonhispanic,M,Gardner  Massachusetts  US,427 Lemke Hollow,Fall River,Massachusetts,Bristol County,,41.74906065995054,-71.1123386219739,218327.51,58662.55,11774
6be6dbc4-b4fa-be8d-bc6f-1439800193f2,1940-02-26,2004-03-01,999-15-1972,S99953162,X32438015X,Ms.,Elisa944,Melgar516,,,S,white,hispanic,F,Wesley  Saint Andrew Parish  DM,228 Osinski Ramp Unit 30,Lawrence,Massachusetts,Essex County,01840,42.683753679636155,-71.1925774608788,1566247.60,0.00,90106
0d7f673c-e7ef-53d0-f561-1a7e9dd15d0c,1960-12-14,,999-73-2801,S99936248,X21896970X,Mrs.,Lashunda872,Schamberger479,MD,Little434,M,white,nonhispanic,F,Boston  Massachusetts  US,378 Yundt Plaza,Taunton,Massachusetts,Bristol County,,41.861501845124046,-71.10006614232036,1471847.20,13598.28,38068
229a1e6d-1714-f0cd-8253-a8729632291e,2006-10-29,,999-53-4027,S99920127,,,Rey54,Treutel973,,,,white,nonhispanic,M,Framingham  Massachusetts  US,318 Pacocha Drive,Boston,Massachusetts,Suffolk County,02467,42.311021418952684,-71.16275742985204,400603.56,165.60,38346
3cb00951-f5a6-8180-00d2-ae0322d2ea7d,1984-06-17,,999-42-7034,S99982207,X35511293X,Mr.,Colton403,Gislason620,,,M,white,nonhispanic,M,Attleboro  Massachusetts  US,420 Kovacek Rue Suite 62,Somerville,Massachusetts,Middlesex County,02155,42.38582245887733,-71.12283989282035,118620.96,8378.24,5321
e0b758ad-b2b3-8de6-ea86-e7cfb37eeaa4,1946-07-12,,999-90-9896,S99916732,X68325771X,Mrs.,Shandra823,Murphy561,,Parisian75,M,white,nonhispanic,F,New Bedford  Massachusetts  US,355 Kulas Passage Apt 81,West Springfield,Massachusetts,Hampden County,01089,42.10746801307071,-72.67565422799547,1857676.04,28248.46,45097
b29d5c39-026f-83b0-9e74-963143634b97,1998-01-08,,999-48-6275,S99932100,X67401198X,Mr.,Marc757,Batz141,,,,asian,nonhispanic,M,Cantho  Cần Thơ  VN,344 Waters Way,Groton,Massachusetts,Middlesex County,01450,42.62610510923631,-71.54056141456876,596445.78,0.00,55366
2b440c6c-29db-af6a-02a2-30a13411bf78,2000-01-09,,999-48-8318,S99926168,X32612625X,Mr.,Noah480,Weber641,,,,white,nonhispanic,M,Methuen  Massachusetts  US,611 Grant Trafficway,Billerica,Massachusetts,Middlesex County,,42.60691383969313,-71.25592940143106,555824.36,0.00,156762
e468e3f0-9c9c-5374-b953-db1ba26c9617,1978-01-17,,999-43-9141,S99989069,X52537641X,Mrs.,Towanda270,Carter549,,Harvey63,M,white,nonhispanic,F,Holbrook  Massachusetts  US,418 Grimes Path,Boston,Massachusetts,Suffolk County,02199,42.413383050506795,-71.12020446693046,1072874.76,0.00,50734
73c66565-1b7f-5b57-4029-83de693606a4,1954-03-30,,999-29-2923,S99978299,X19962338X,Mrs.,Lia388,Emard19,,Rosenbaum794,M,white,nonhispanic,F,Warren  Massachusetts  US,1073 Wunsch Quay Suite 85,Amherst Center,Massachusetts,Hampshire County,,42.37855860174644,-72.50264087052955,1671076.26,1758.60,232324
eb76c027-3233-acb1-fd9a-099047ca7cb4,2009-12-20,,999-44-9063,,,,Rosalva540,Yundt842,,,,white,nonhispanic,F,Dunstable  Massachusetts  US,644 Reilly Bypass,Medfield,Massachusetts,Norfolk County,,42.18947467486522,-71.33671644802439,328199.36,587.40,93761
aeb6fd40-c0da-23a8-7b46-6c9fe558d7b2,1973-01-29,,999-22-1245,S99974744,X3485317X,Mrs.,María del Carmen27,Bravo546,,Garay400,M,white,hispanic,F,Gaudalajara  Jalisco  MX,934 Schamberger Route,Worcester,Massachusetts,Worcester County,01610,42.21264256722606,-71.79598137755454,169349.16,0.00,15181
fb00b97e-91b2-234e-4c91-09276b3d8366,1966-02-27,,999-48-1687,S99918227,X61295780X,Mrs.,Kristina583,Lockman863,,Pfeffer420,M,white,nonhispanic,F,Quincy  Massachusetts  US,862 Kris Gateway,Waltham,Massachusetts,Middlesex County,02453,42.3511993296254,-71.13407960524533,1339449.96,0.00,71910
